DATE,LOC,lat,long,NAME,DEATHS,INJURIES
4/16/2007,"Blacksburg, VA",37.229573,-80.413939,Virginia Tech,33,25
2/8/2008,"Baton Rouge, LA",30.458283,-91.14032,Louisiana Technical College ,3,0
2/14/2008,"DeKalb, IL",41.929474,-88.750365,Northern Illinois University ,6,21
10/26/2008,"Conway, AR",35.088696,-92.442101,University of Central Arkansas ,2,1
4/26/2009,"Hampton, VA",37.029869,-76.345222,Hampton University,0,3
5/18/2009,"Cambridge, MA",42.373616,-71.109733,Harvard College,1,0
9/3/2009,"San Bruno, CA",37.63049,-122.411084,Skyline College ,0,1
10/3/2010,"Elizabeth City, NC",36.294601,-76.251046,MidAtlantic Christian University ,1,0
2/6/2011,"Youngston, OH",41.09978,-80.649519,Youngstown State University,1,11
4/2/2012,"Oakland, CA",37.804364,-122.271114,Oikos University ,7,3
10/31/2012,"LA, CA",34.052234,-118.243685,University of Southern California,0,4
1/15/2013,"St.Louis, MO",38.627003,-90.199404,Stevens Institute of Business and Arts ,0,2
1/15/2013,"Hazard, KY",37.24954,-83.193228,Hazard Community and Technical College,3,0
1/16/2013,"Chicago, IL ",41.878114,-87.629798,Chicago State University ,1,0
1/22/2013,"Houston, TX",29.760427,-95.369803,Lone Star College- North Harris,0,3
2/1/2013,"Atlanta, GA",33.748995,-84.387982,Morehouse College,,
2/7/2013,"Fort Pierce, FL",27.446706,-80.325606,Inidian River State College,,
3/18/2013,"Orlando, FL",28.538336,-81.379236,University of Central Florida,1,0
4/9/2013,"Cypress, TX",29.971691,-95.693786,Lone Star College- Cyfair,0,14
4/12/2013,"Christiansburg, VA",37.129852,-80.408939,New River Community College,0,2
4/13/2013,"Elizabeth City, NC",36.294601,-76.251046,Elizabeth City State University,,
4/15/2013,"Grambling, LA",32.52765,-92.71404,Grambling State University ,0,3
4/18/2013,"Cambridge, MA",42.373616,-71.109733,Massachussetts Institute of Technology,2,1
6/7/2013,"Santa Monica, CA",34.019454,-118.491191,Santa Monica College ,6,4
6/19/2013,"West Palm Beach, FL",26.715342,-80.053375,Alexander W. Dreyfoos School of the Arts,,
9/21/2013,"Savannah, GA",32.083541,-81.099834,Savannah State University,,
10/4/2013,"Pine Hills, FL",28.557779,-81.453405,Agape Christian Academy,,
11/2/2013,"Greeensboro, NC",36.072635,-79.791975,North Carolina A&T State University,0,1
11/21/2013,"Rapid City, SD",44.080543,-103.231015,South Dakota School of Mines & Technology,,
1/20/2014,"Chester, PA",39.849557,-75.355746,Widener University,0,1
1/21/2014,"West Lafayette, IN",40.425869,-86.908066,Purdue University,1,0
1/24/2014,"Orangeburg, SC",33.49182,-80.855648,South Carolina State University,1,0
1/25/2014,"Los Angeles, CA",34.052234,-118.243685,Los Angeles Valley College,1,0
1/28/2014,"Nashville, TN",36.162664,-86.781602,Tennessee State University,0,1
1/30/2014,"Palm Bay, Florida",28.034462,-80.588665,Eastern Florida State College,0,1
2/12/2014,"Jackson, TN",35.614517,-88.813947,Union University,,
2/22/2014,"Augusta, GA",33.473498,-82.010515,Georgia Regents University,0,1
3/2/2014,"Westminster, MD",39.575379,-76.995815,McDaniel College,,
3/8/2014,"Oshkosh, WI",44.024706,-88.542614,University of Wisconsin- Oshkosh,,
3/23/2014,"Newark, DE",39.683723,-75.749657,University of Delaware,,
3/30/2014,"Savannah, GA",32.083541,-81.099834,Savannah State University,,
4/3/2014,"Kent, OH",41.153667,-81.357886,Kent State University,,
4/16/2014,"Council Bluffs, IA",41.261944,-95.860833,Iowa Western Community College,,
4/16/2014,"Tuscaloosa, AL",33.209841,-87.569173,Stillman College,,
5/2/2014,"Milwaukee, WI",43.038903,-87.906474,Marquette University,,
5/4/2014,"Augusta, GA",33.473498,-82.010515,Paine College,0,1
5/5/2014,"Augusta, GA",33.473498,-82.010515,Paine College,0,1
5/8/2014,"Lawrenceville, GA",33.956215,-83.987962,Georgia Gwinnett College,0,1
5/8/2014,"Georgetown, KY",38.209797,-84.558831,Georgetown College,,
